Height ,Weight
58.40690493,121.3383226
61.83484916,143.4214618
62.29469492,149.4972517
63.09448322,154.8888953
63.2731515,143.2486718
63.52619373,154.1243308
63.63948265,163.2579018
63.95849617,138.5765641
64.44509767,138.0926359
64.50621045,164.5003666
64.57731204,150.1834743
64.63837415,172.5013209
64.72625594,143.3475655
64.76837226,169.8987329
64.81500852,159.9404171
64.87420147,172.8187161
65.05718061,150.5808782
65.09963565,180.7937105
65.1341657,138.6548279
65.20452194,177.0496586
65.2316637,176.9299813
65.27930021,155.2504207
65.34370557,166.9585605
65.45803071,173.8162611
65.53179963,177.6182243
65.59461283,162.2915973
65.65950483,151.6274343
66.00196773,165.1677228
66.05755164,167.9820225
66.08944952,166.5066409
66.11876309,184.1305417
66.17587032,176.4793431
66.22625309,166.0526409
66.26705648,163.6381507
66.31457674,148.2657302
66.34220885,165.6993918
66.37399493,167.784391
66.40224967,165.5684991
66.45203849,174.9138167
66.47256343,178.3021983
66.65616417,168.0140297
66.68582515,179.2976843
66.72049284,169.6840868
66.75241965,176.1002667
66.78746728,172.1754663
66.81925072,178.1690905
66.8672457,166.3981217
66.88824948,174.0868757
66.92343676,173.6342571
66.97028641,180.6366889
67.00135021,183.8267586
67.11287612,175.7763501
67.13854961,171.8769664
67.16702152,186.354916
67.17889159,179.4444452
67.26234188,167.0745967
67.3942812,168.5207432
67.41204603,195.4726639
67.43491395,158.4390494
67.44950107,192.5855608
67.53060627,167.6137769
67.54641807,159.557692
67.5683852,186.0567292
67.6159545,185.579959
67.65278593,165.1037698
67.67287524,173.8074183
67.69430474,178.1591534
67.70943846,168.9198271
67.73061112,194.1804446
67.76171315,191.544634
67.78265811,189.9096712
67.80204383,187.2898022
67.8417924,192.741685
67.87176723,176.904596
67.88908219,170.9302018
67.90243707,173.3975281
67.91927928,196.4477023
67.93466159,182.6880222
67.95292159,171.2171413
67.97433623,172.1355974
68.00062599,177.6018026
68.02456916,185.4048519
68.04853075,182.7558152
68.07178728,172.7062583
68.09296485,169.936601
68.10921459,176.2611905
68.13028842,192.0295666
68.15631187,177.0037601
68.17396371,179.0703394
68.19420026,181.0284042
68.23194853,176.5833168
68.25414488,178.9296041
68.27535973,176.1790688
68.28704173,170.4136025
68.30662533,178.6288814
68.32145287,206.4261469
68.35981059,174.1982892
68.37126964,185.5365586
68.3844491,178.3074953
68.41046282,185.1277355
68.43957627,190.8156844
68.50326101,193.9820595
68.51599909,192.1222427
68.58137352,181.167061
68.60379643,176.8154762
68.61948497,192.6056386
68.75899269,172.0941985
68.77985874,174.5793253
68.8026918,184.7658113
68.84301209,153.4680504
68.8632082,201.7955042
68.88636675,197.6422437
68.90409885,194.6597698
68.91631418,213.1431538
68.93342613,199.6329351
68.9574386,182.1925128
68.97780263,190.1486823
68.99565852,192.5131646
69.01116064,191.0267435
69.03049142,183.8520382
69.05063819,191.5222749
69.0676816,194.8220869
69.08145675,176.8676042
69.10584625,190.2139872
69.12835663,184.1422808
69.14577478,184.4878335
69.16345307,189.1468614
69.19698265,194.2577478
69.21041304,187.6248203
69.22708106,185.9160215
69.24254056,189.6278521
69.28213781,177.804321
69.30053044,202.8387007
69.32485803,193.2792655
69.33978054,193.0413635
69.35342667,180.5205798
69.37565771,196.2250857
69.39964952,189.9399079
69.43201946,200.3412722
69.44720978,190.4477008
69.47507618,183.1248016
69.50423744,188.6651449
69.52410031,184.1097302
69.54951057,199.1938148
69.56129654,199.4943358
69.57359157,165.7847424
69.59247919,181.6168367
69.60829847,181.5586034
69.63316169,189.6515572
69.65651121,182.9422925
69.68208839,187.5760516
69.70166848,197.3504893
69.7297502,205.2287064
69.74866358,195.2413161
69.76865284,199.6728427
69.79388789,181.7231932
69.83297043,196.3477833
69.86119695,179.6624965
69.89562407,200.1203609
69.92414675,185.8665843
69.94097302,180.4734578
69.96052189,199.8168098
69.98313746,206.4144118
70.01336535,209.5264998
70.02684189,186.3587022
70.03715822,199.4991242
70.05933098,225.014368
70.09954493,181.9560015
70.12349564,186.7590155
70.15827765,200.5341783
70.18570099,188.5293966
70.20434795,176.6590896
70.23041113,207.4128337
70.25353368,208.0638903
70.2806923,187.2586923
70.30017896,196.5850577
70.32475344,193.3465603
70.3476017,190.8175134
70.36539263,185.2971151
70.38792495,176.0648702
70.4094368,206.3469387
70.42847374,199.1441775
70.4417673,194.9017702
70.46445649,189.626283
70.48564317,193.359947
70.51041016,174.8848844
70.54239278,197.0418585
70.56945509,185.9639951
70.60702552,183.5773805
70.64713915,207.5564082
70.68039627,199.5086562
70.70409374,202.9105993
70.74308255,201.1293822
70.77641476,203.2411923
70.80955947,181.5636902
70.83048067,204.697662
70.85919069,184.4932506
70.87704813,186.3398244
70.89251934,201.4180366
71.17286856,193.7200436
71.19296145,206.1961801
71.22570192,199.182763
71.25353511,205.3539273
71.29393137,202.9447711
71.32700107,206.3851911
71.35662808,211.3956386
71.38257685,205.5457947
71.41846589,179.8639023
71.61500072,208.6718719
71.64441882,190.0632856
71.67636717,200.206207
71.69548249,197.3756657
71.71587,190.9943108
72.13277787,184.1471888
72.17407836,186.1888419
72.96222705,207.5014555
73.03840861,209.4753881
78.46205292,227.3425649
